T_coldfinger_K,nu_MHz
91.013,1457.2561
91.311,1457.0616
91.311,1457.0616
91.311,1457.1697
91.311,1457.1697
91.608,1457.0616
92.204,1456.9536
94.582,1456.9536
99.039,1456.6510
103.200,1456.3485
107.362,1456.0459
111.226,1455.7434
115.088,1455.5488
118.654,1455.2463
121.923,1455.0518
125.489,1454.8573
128.760,1454.6412
132.028,1454.4467
135.001,1454.5547
137.972,1454.7492
140.945,1455.6569
143.918,1455.9595
146.889,1455.9595
149.862,1455.9595
152.537,1455.9595
155.212,1455.7434
157.887,1455.6569
160.563,1455.5488
163.238,1455.4408
165.912,1455.3544
168.291,1455.2463
170.668,1455.1598
173.343,1454.9437
175.721,1454.9437
177.801,1454.9437
180.178,1454.8573
182.556,1454.9437
184.936,1454.9437
187.015,1454.9437
189.393,1454.9437
191.472,1454.9437
193.851,1455.0518
195.932,1454.9437
198.012,1454.9437
200.094,1454.9437
201.876,1454.8573
203.362,1454.8573
205.147,1454.8573
206.631,1454.8573
208.415,1454.7492
210.199,1454.7492
211.685,1454.6412
213.468,1454.6412
214.954,1454.5547
216.441,1454.5547
217.927,1454.4467
219.116,1454.4467
220.600,1454.3386
222.087,1454.2522
223.275,1454.2522
224.464,1454.1442
225.951,1454.1442
227.140,1454.0361
228.328,1453.9497
229.517,1453.8416
231.004,1453.8416
232.192,1453.8416
233.086,1453.6471
234.274,1453.5391
235.463,1453.4310
236.652,1453.3446
237.841,1453.3446
239.029,1453.2364
239.920,1453.1500
241.109,1453.0420
242.002,1453.0420
243.191,1452.9339
244.082,1452.8475
245.271,1452.7395
246.162,1452.7395
247.055,1452.6313
247.946,1452.6313
249.135,1452.5449
250.026,1452.5449
250.919,1452.4369
251.810,1452.4369
252.701,1452.2424
253.593,1452.2424
254.485,1452.1343
255.376,1452.1343
256.267,1451.9398
257.161,1451.9398
258.052,1451.8318
258.646,1451.7237
259.538,1451.6373
260.429,1451.6373
261.025,1451.4212
261.916,1451.4212
262.511,1451.4212
263.402,1451.3347
263.995,1451.3347
264.889,1451.2267
265.482,1451.1403
266.077,1451.1403
266.968,1451.1403
267.564,1451.0322
268.157,1450.9241
268.753,1450.9241
269.346,1450.9241
269.941,1450.8376
270.832,1450.8376
271.426,1450.7297
272.021,1450.6215
272.319,1450.5351
272.912,1450.4271
273.508,1450.3190
273.805,1450.3190
274.101,1450.3190
274.696,1450.2325
274.994,1450.2325
275.587,1450.1246
275.885,1450.1246
276.479,1450.1246
277.074,1450.0164
277.372,1450.0164
277.965,1450.0164
278.560,1449.9300
278.858,1449.9300
279.451,1449.9300
279.749,1449.8219
280.344,1449.8219
280.640,1449.8219
281.236,1449.8219
281.533,1449.7139
281.829,1449.5194
282.424,1449.5194
282.722,1449.5194
283.018,1449.4114
283.613,1449.4114
283.911,1449.3249
284.206,1449.3249
284.504,1449.2169
285.100,1449.2169
285.397,1449.2169
285.693,1449.2169
285.991,1449.2169
286.288,1449.2169
286.586,1449.2169
287.179,1449.1304
287.477,1449.1304
287.775,1449.1304
288.070,1449.1304
288.368,1449.0224
288.666,1449.1304
288.964,1449.0224
289.259,1448.9143
289.557,1448.8279
289.855,1448.7198
290.152,1448.7198
290.152,1448.7198
290.450,1448.6118
290.746,1448.6118
291.341,1448.5253
292.530,1448.4173
293.719,1448.3091
294.610,1448.1147
295.503,1448.1147
296.394,1447.9202
297.285,1447.9202
298.176,1447.7041
299.069,1447.6176
299.662,1447.5096
300.556,1447.5096
301.447,1447.3151
302.040,1447.2070
302.635,1447.3151
303.526,1447.1206
304.122,1447.1206
305.311,1446.9045
306.499,1446.6019
307.688,1446.4075
308.579,1446.2130
309.768,1446.1049
310.661,1445.9103
311.552,1445.8024
312.443,1445.6943
313.632,1445.6078
314.227,1445.4998
315.118,1445.3917
316.009,1445.3053
316.903,1445.3053
317.794,1445.1973
318.982,1445.0891
319.873,1445.0027
321.062,1444.8082
322.549,1444.8082
323.442,1444.7002
